楷飞,堡柳备,吝邦力1悼,吝邦力2悼,吝邦力3悼,吝邦力4悼,瓷悼,备狼力1悼,备狼力2悼,备狼力3悼,堡厘悼,磊剧力1悼,磊剧力2悼,磊剧力3悼,磊剧力4悼,拳剧悼,焙磊悼,单捞磐扁霖老磊
0技,1120,59,69,59,77,34,78,93,105,97,66,88,137,79,30,49,2023-12-31
1技,1204,57,57,54,98,53,86,76,128,105,56,123,166,68,27,50,2023-12-31
2技,1261,66,61,63,96,37,72,117,134,121,53,100,188,77,24,52,2023-12-31
3技,1271,57,56,62,104,53,74,105,144,145,57,102,163,75,21,53,2023-12-31
4技,1434,55,77,54,87,41,77,136,149,186,71,130,188,92,26,65,2023-12-31
5技,1460,49,88,58,104,41,104,137,159,210,54,126,166,73,29,62,2023-12-31
6技,1577,45,92,53,102,45,77,125,180,323,66,99,209,77,20,64,2023-12-31
7技,1839,54,102,51,99,46,88,165,169,381,108,145,243,76,33,79,2023-12-31
8技,2046,66,122,79,128,47,106,188,205,419,97,133,251,86,37,82,2023-12-31
9技,1996,57,106,72,120,35,97,166,201,428,95,163,247,83,37,89,2023-12-31
10技,2130,74,107,58,137,58,90,201,188,543,105,164,227,75,37,66,2023-12-31
11技,2319,65,139,96,145,35,105,190,224,561,126,180,236,79,35,103,2023-12-31
12技,2274,73,131,80,142,55,78,198,193,580,126,158,250,86,39,85,2023-12-31
13技,2306,66,121,67,153,52,125,194,228,536,132,163,242,80,44,103,2023-12-31
14技,2224,41,111,77,181,40,109,207,224,546,114,159,209,78,47,81,2023-12-31
15技,2381,67,121,82,147,61,123,203,256,582,136,151,232,88,45,87,2023-12-31
16技,2576,71,138,96,188,46,112,264,239,612,149,164,254,97,50,96,2023-12-31
17技,2475,59,113,76,197,48,133,203,245,525,178,198,267,97,53,83,2023-12-31
18技,2335,60,138,90,175,37,126,232,256,455,136,162,229,103,48,88,2023-12-31
19技,2784,94,121,115,197,60,162,252,231,437,176,177,264,123,234,141,2023-12-31
20技,3378,104,168,117,263,98,204,236,279,420,190,205,281,163,449,201,2023-12-31
21技,3394,111,148,99,249,77,205,234,285,366,208,205,256,172,557,222,2023-12-31
22技,4397,156,231,165,288,135,295,273,300,378,259,221,313,209,861,313,2023-12-31
23技,5721,233,306,202,345,177,448,322,397,456,350,296,356,271,1161,401,2023-12-31
24技,5971,250,304,228,361,203,466,311,361,367,426,321,372,305,1258,438,2023-12-31
25技,6665,323,362,262,422,260,574,332,445,419,420,323,361,333,1318,511,2023-12-31
26技,7032,343,384,264,473,286,556,392,510,372,492,382,342,395,1289,552,2023-12-31
27技,7302,409,462,320,498,303,621,344,478,348,538,408,411,436,1190,536,2023-12-31
28技,7562,446,462,331,495,337,712,419,531,367,509,391,364,485,1156,557,2023-12-31
29技,7427,430,477,329,553,353,652,436,494,356,489,468,381,480,990,539,2023-12-31
30技,7103,442,491,359,500,352,642,385,512,290,533,399,409,411,895,483,2023-12-31
31技,7048,400,528,314,524,335,603,445,500,315,532,435,391,460,793,473,2023-12-31
32技,6448,336,418,366,459,306,559,409,504,342,490,421,388,380,646,424,2023-12-31
33技,5692,365,375,273,413,283,521,370,448,266,389,348,364,348,558,371,2023-12-31
34技,5256,305,348,284,379,229,448,328,437,279,357,371,374,318,441,358,2023-12-31
35技,5046,294,351,242,389,214,412,310,439,313,337,387,382,316,350,310,2023-12-31
36技,4713,251,296,228,345,193,382,365,436,337,299,326,367,304,320,264,2023-12-31
37技,4584,220,314,238,332,193,352,328,397,367,290,335,384,298,291,245,2023-12-31
38技,4700,229,297,216,348,199,328,350,414,383,332,360,433,258,276,277,2023-12-31
39技,4353,217,244,215,352,166,355,307,402,420,263,307,375,269,223,238,2023-12-31
40技,4768,226,307,195,330,194,371,379,399,517,322,346,424,256,245,257,2023-12-31
41技,5139,236,337,239,357,210,347,424,386,602,341,365,448,305,236,306,2023-12-31
42技,5071,206,331,208,348,176,335,443,394,667,336,349,473,294,239,272,2023-12-31
43技,5005,202,286,197,369,174,354,396,442,700,313,360,452,272,209,279,2023-12-31
44技,4938,199,280,220,331,169,309,400,425,755,297,393,460,255,211,234,2023-12-31
45技,4166,174,238,176,330,133,279,349,365,604,264,317,358,205,170,204,2023-12-31
46技,4718,182,267,190,357,138,309,387,430,749,305,333,442,214,190,225,2023-12-31
47技,4540,154,216,216,360,124,269,373,384,763,320,313,413,247,153,235,2023-12-31
48技,4761,180,284,198,381,152,323,420,430,691,311,378,371,232,197,213,2023-12-31
49技,4997,187,283,214,401,138,322,410,411,793,323,387,398,289,189,252,2023-12-31
50技,5232,175,308,259,439,152,357,452,498,733,317,369,432,289,204,248,2023-12-31
51技,5431,226,357,262,453,132,372,434,472,765,337,380,489,314,191,247,2023-12-31
52技,5754,263,317,260,499,195,347,486,552,747,352,397,514,337,223,265,2023-12-31
53技,5617,224,334,276,525,140,385,461,507,720,351,426,476,311,209,272,2023-12-31
54技,5558,257,335,264,550,159,371,470,492,617,340,406,487,307,205,298,2023-12-31
55技,5585,267,319,309,551,144,354,476,465,607,395,406,447,349,209,287,2023-12-31
56技,5239,213,362,265,527,151,334,440,486,486,376,380,449,330,195,245,2023-12-31
57技,4808,226,334,235,530,129,317,387,419,426,298,383,396,290,193,245,2023-12-31
58技,5028,236,333,285,516,136,321,442,412,482,325,385,408,314,182,251,2023-12-31
59技,4904,227,345,262,524,115,295,403,384,472,292,381,448,315,156,285,2023-12-31
60技,4643,192,321,247,443,117,294,383,394,414,324,367,415,323,163,246,2023-12-31
61技,5077,227,344,272,508,145,343,429,434,389,359,397,398,355,176,301,2023-12-31
62技,5152,274,341,293,530,143,340,424,423,372,347,417,416,372,175,285,2023-12-31
63技,5263,236,351,315,583,152,316,425,412,396,335,421,452,365,192,312,2023-12-31
64技,4895,245,360,290,537,147,319,400,394,356,339,391,397,330,153,237,2023-12-31
65技,4571,205,332,257,443,121,298,380,405,337,307,360,365,353,162,246,2023-12-31
66技,4441,212,272,241,457,121,269,371,374,338,309,367,384,315,145,266,2023-12-31
67技,3939,215,223,210,405,114,222,355,340,300,235,333,342,263,156,226,2023-12-31
68技,4170,189,275,226,408,138,240,351,322,326,276,346,374,305,171,223,2023-12-31
69技,3385,164,219,170,338,102,209,253,280,233,233,298,289,233,170,194,2023-12-31
70技,2990,148,197,150,315,82,171,255,241,231,182,240,236,245,122,175,2023-12-31
71技,3353,129,247,190,349,94,187,269,269,231,233,308,249,258,137,203,2023-12-31
72技,2161,95,132,127,232,58,126,195,196,156,143,164,171,172,92,102,2023-12-31
73技,2445,135,161,133,255,80,152,222,173,177,153,183,205,177,101,138,2023-12-31
74技,2333,96,167,149,228,79,173,190,200,148,155,161,174,185,113,115,2023-12-31
75技,2487,124,173,140,268,82,174,220,181,139,181,179,187,176,104,159,2023-12-31
76技,2485,136,156,139,267,91,132,231,194,137,168,199,169,206,104,156,2023-12-31
77技,1946,106,128,111,189,59,136,179,149,136,128,127,135,145,102,116,2023-12-31
78技,1656,81,110,93,174,45,100,148,135,99,128,130,139,98,75,101,2023-12-31
79技,1715,96,110,112,168,63,99,137,123,118,114,138,128,113,79,117,2023-12-31
80技,1642,86,91,92,169,42,110,123,136,119,123,135,117,105,73,121,2023-12-31
81技,1814,73,119,99,191,65,111,162,140,124,135,117,142,145,87,104,2023-12-31
82技,1496,86,104,78,144,51,97,111,106,113,117,104,118,104,64,99,2023-12-31
83技,1234,53,64,78,95,45,96,109,96,94,99,74,109,95,46,81,2023-12-31
84技,1176,71,63,58,122,50,74,91,93,101,73,85,92,93,51,59,2023-12-31
85技,983,47,53,61,86,33,53,86,92,89,62,65,89,51,56,60,2023-12-31
86技,819,32,44,40,73,17,71,65,53,94,53,58,87,45,45,42,2023-12-31
87技,674,20,36,34,64,17,35,64,61,69,52,37,56,54,31,44,2023-12-31
88技,603,19,23,30,48,14,35,55,54,63,38,36,80,48,29,31,2023-12-31
89技,487,18,22,11,43,11,22,44,52,47,29,34,66,39,16,33,2023-12-31
90技,350,20,18,17,31,8,22,28,36,36,17,20,51,20,10,16,2023-12-31
91技,290,16,17,8,21,5,22,20,23,35,15,24,36,16,14,18,2023-12-31
92技,209,9,7,10,17,7,17,18,22,18,13,19,27,14,7,4,2023-12-31
93技,151,6,6,5,12,5,9,9,13,26,9,9,20,9,7,6,2023-12-31
94技,135,8,7,3,11,2,8,6,14,17,15,8,14,11,5,6,2023-12-31
95技,97,3,6,5,6,4,6,3,11,14,7,10,8,5,6,3,2023-12-31
96技,84,2,6,6,12,1,1,4,5,14,3,4,10,6,5,5,2023-12-31
97技,34,3,1,1,3,0,4,4,2,4,2,3,3,2,1,1,2023-12-31
98技,33,1,1,2,1,1,1,1,5,5,2,3,5,1,2,2,2023-12-31
99技,30,0,1,0,1,0,2,4,3,3,0,6,4,1,1,4,2023-12-31
100技,13,2,3,0,1,1,1,2,0,0,0,1,1,1,0,0,2023-12-31
101技,12,0,0,0,1,0,0,2,1,2,1,0,4,0,0,1,2023-12-31
102技,3,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,2023-12-31
103技,4,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,2023-12-31
104技,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2023-12-31
105技,4,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,2023-12-31
106技,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2023-12-31
107技,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-12-31
108技,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-12-31
109技,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-12-31
110技 捞惑,4,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,2023-12-31
